time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388979755931,18,17370.239999999998,,0.03515625,102,0
388979756187,18,17370.239999999998,,0.015625,102,0
388979756443,18,17370.239999999998,,0.015625,101,0
388979756699,18,17370.239999999998,,0.0234375,101,0
388979756955,18,17370.239999999998,,0.015625,101,0
388979757211,18,17370.239999999998,,0.015625,102,0
388979757467,18,17370.239999999998,,0.0,102,0
388979757723,17,13240.16,,0.015625,102,0
388979757979,15,13240.16,,0.015625,103,0
388979758235,13,13240.16,,0.0,103,0
388979758491,12,13240.16,,0.015625,102,0
388979758747,12,12350.4,,0.01953125,102,0
388979759003,12,12350.4,,0.015625,102,0
388979759259,12,12350.4,,0.0390625,102,0
388979759515,12,12350.4,,0.1484375,102,0
388979759771,12,12350.4,,0.1015625,102,0
388979760027,12,12350.4,,0.09375,102,0
388979760283,12,12350.4,,0.0859375,103,0
388979760539,12,12350.4,,0.05078125,103,0
388979760795,12,10624.0,,0.14453125,104,0
388979761051,11,10624.0,,0.2421875,108,0
388979761307,11,10624.0,,0.109375,108,0
388979761563,10,10624.0,,0.1953125,108,0
388979761819,10,10624.0,,0.0625,109,0
388979762075,10,10876.32,,0.08203125,105,0
388979762331,10,10876.32,,0.1015625,101,0
388979762587,10,10876.32,,0.078125,97,0
388979762843,10,11553.599999999999,,0.12109375,95,0
388979763099,11,11553.599999999999,,0.1953125,95,0
388979763355,11,11553.599999999999,,0.08203125,90,0
388979763611,12,11553.599999999999,,0.06640625,86,0
388979763867,12,11553.599999999999,,0.1015625,83,0
388979764123,11,10252.16,,0.09375,81,0
388979764379,11,10252.16,,0.04296875,78,0
388979764635,11,10252.16,,0.01953125,78,0
388979764891,10,9481.9200000000001,,0.015625,77,0
388979765147,11,9481.9200000000001,,0.03125,70,0
388979765403,11,9481.9200000000001,,0.0234375,67,0
388979765659,11,10570.879999999999,,0.02734375,64,0
388979765915,12,10570.879999999999,,0.0390625,62,0
388979766171,14,10796.639999999999,,0.046875,66,0
388979766427,14,10796.639999999999,,0.10546875,68,0
388979766683,14,10796.639999999999,,0.03515625,68,0
388979766939,14,10796.639999999999,,0.109375,67,0
388979767195,15,13187.039999999999,,0.11328125,70,0
388979767451,16,13187.039999999999,,0.3515625,70,0
388979767707,17,13187.039999999999,,0.05859375,75,0
388979767963,18,19388.799999999999,,0.109375,75,0
388979768219,18,19388.799999999999,,0.27734375,79,0
388979768475,18,19388.799999999999,,0.0390625,82,0
388979768731,18,19388.799999999999,,0.015625,83,0
388979768987,18,19388.799999999999,,0.015625,86,0
388979769243,18,19388.799999999999,,0.015625,89,0
388979769499,18,19388.799999999999,,0.05078125,95,0
388979769755,18,19388.799999999999,,0.27734375,96,0
388979770011,18,19388.799999999999,,0.0859375,106,0
388979770267,18,19388.799999999999,,0.06640625,109,0
388979770523,17,18552.16,,0.08984375,111,0
388979770779,16,18552.16,,0.26171875,115,0
388979771035,14,18552.16,,0.0546875,117,0
388979771291,14,18552.16,,0.05859375,118,0
388979771547,14,18552.16,,0.2109375,118,0
388979771803,14,18552.16,,0.328125,118,0
388979772059,14,18552.16,,0.3046875,119,0
388979772315,14,18552.16,,0.25,119,0
388979772571,14,18552.16,,0.2421875,119,0
388979772827,14,18552.16,,0.2109375,119,0
388979773083,14,18552.16,,0.31640625,119,0
388979773339,14,16799.200000000001,,0.2734375,120,0
388979773595,13,16799.200000000001,,0.1484375,120,0
388979773851,12,16799.200000000001,,0.0390625,120,0
388979774107,12,16493.759999999998,,0.02734375,116,0
388979774363,11,16493.759999999998,,0.03515625,116,0
388979774619,11,16493.759999999998,,0.1484375,116,0
388979774875,11,16493.759999999998,,0.31640625,117,0
388979775131,11,16493.759999999998,,0.36328125,116,0
388979775387,11,18020.959999999999,,0.25390625,115,0
388979775643,11,18020.959999999999,,0.125,115,0
388979775899,11,18020.959999999999,,0.078125,115,0
388979776155,11,17994.399999999998,,0.06640625,101,0
388979776411,11,17994.399999999998,,0.02734375,98,0
388979776667,11,17994.399999999998,,0.12109375,101,0
388979776923,11,17994.399999999998,,0.0625,109,0
388979777179,11,17994.399999999998,,0.01953125,112,0
388979777435,11,17994.399999999998,,0.01953125,113,0
388979777691,11,17994.399999999998,,0.08984375,113,0
388979777947,11,17994.399999999998,,0.21875,114,0
388979778203,11,16082.08,,0.26171875,114,0
388979778459,10,16082.08,,0.38671875,114,0
388979778715,10,16082.08,,0.25,114,0
388979778971,10,16082.08,,0.265625,114,0
388979779227,10,12855.039999999999,,0.11328125,114,0
388979779483,10,12855.039999999999,,0.15234375,115,0
388979779739,10,12855.039999999999,,0.1796875,114,0
